iter	Passed	Remaining
977	116088	2611
978	116170	2491
979	116263	2372
980	116365	2253
981	116474	2134
982	116556	2015
983	116639	1896
984	116721	1777
985	116812	1658
986	116910	1539
987	116988	1420
988	117075	1302
989	117169	1183
990	117262	1064
991	117363	946
992	117451	827
993	117544	709
994	117641	591
995	117729	472
996	117811	354
997	117906	236
998	118004	118
999	118108	0
